1.54;-0.3;0.04;0.02;0.79;-0.64;0.46;1.67;-0.81;1.11;1.87;-1.86;-2.08;-3.2;-3.14
0.77;0.76;0.8;-1.61;1.88;0.51;-0.25;1.71;-2.91;-1.05;2.19;-0.77;-0.72;-0.42;-0.39
1.78;2.85;-1.51;-2.86;-0.28;0.59;0.57;-4.24;-0.62;-0.72;0.67;0.24;0.59;2.27;1.46
3.36;4.19;-1.1;-2.43;2.18;-0.69;1.28;-2.32;-0.67;-0.64;-0.23;-0.91;-0.8;1.73;-0.04
4.56;-1.56;1.54;-0.3;1.35;1;0.38;-2.27;-0.21;1.54;-3.28;-3.03;-0.31;-2.03;-0.39
2.32;-1.44;1.83;-0.55;2.42;0.29;-0.08;-2.87;3;-0.45;-2.98;-1.21;0.5;-1.24;-1.2
0.1;0.33;3.28;0.24;0.44;-2.4;-1.48;-1.67;1.12;-0.88;0.53;0.64;-0.1;0.78;-1.29
-2.44;-0.03;-0.15;0.81;-3.82;-3.93;0.24;-1.73;0.6;-0.31;2.9;-0.58;-0.42;-1;0.21
-1.26;-2.92;-0.89;1.85;-1.55;-1.7;1.38;-0.18;3.27;-2.87;1.16;-1.89;-0.29;-0.12;-0.55
-1.56;0.52;1.21;-1.54;-0.87;-0.12;1.33;2.08;4.17;-4.28;-1.73;0.02;2.08;0.75;-0.2
-2.22;2.69;0.61;-0.76;-0.14;0.51;3.04;1.35;0.39;-1.78;-1.83;0.59;3.39;2.38;-1.18
-0.2;0.98;3.61;-4.39;1.06;0.72;2.96;-1.05;-2.44;-1.81;0.64;1.27;1.21;2.81;0.48
-4.16;0.57;2.62;-4.39;0.32;0.37;1.6;1.65;-3.04;-0.91;2.38;0.18;2.25;2.38;3.53
-0.94;2.83;0.77;0;2.29;-1.51;-0.36;1.35;-1.13;-0.58;0.64;0.45;0.64;0.96;1.71
3.11;3.51;1.05;0.46;0.19;0.89;-1.09;-1.49;-1.06;-0.69;-1.18;0.48;-0.18;0.8;-1.18
3.2;-0.25;0.96;-0.55;-1.42;0.81;-0.36;-0.42;0.53;-0.99;0.4;1.19;1;-1.45;-0.77
